ID_CUSTOMER;AREA;CHANNEL;POTENTIAL;CITY
1100001;110925;01;5;Glendale
0900002;090551;02;4;San Diego
3300001;330003;02;2;Riverside
1600001;160213;04;3;Stockton
0300002;030174;02;4;San Jose
1900001;190142;02;5;Moreno Valley
1000001;100651;01;4;Oxnard
2600001;261312;04;5;Santa Clarita
3500003;351011;02;4;Sacramento
0200005;020092;02;4;Los Angeles
3400001;340971;04;5;Huntington Beach
0900005;090570;02;5;San Diego
1900002;190390;02;2;Moreno Valley
3500006;351001;02;2;Sacramento
0100002;010019;02;4;Long Beach
0700002;070318;02;4;Bakersfield
0900006;090003;02;4;San Diego
2100002;210514;01;5;Anaheim
0900008;091341;04;5;San Diego
0200009;020667;02;5;Los Angeles
0900009;090003;02;2;San Diego
1000003;100003;02;5;Oxnard
0900010;090585;02;4;San Diego
1300007;130783;02;3;Fresno
0600003;060003;03;4;Oakland
0200010;020667;02;4;Los Angeles
0900012;090561;02;5;San Diego
3500009;350563;04;2;Sacramento
2100003;210392;02;5;Anaheim
0900013;090567;02;4;San Diego
2000001;200965;01;4;Garden Grove
0900015;090567;01;4;San Diego
3500010;351039;01;5;Sacramento
3300002;331458;02;3;Riverside
0900017;090578;02;5;San Diego
3500012;351013;02;3;Sacramento
0400004;040895;04;4;San Francisco
0600004;060003;03;2;Oakland
0400005;040789;03;4;San Francisco
1300009;130003;02;5;Fresno
0900021;090561;04;5;San Diego
0900022;090560;04;5;San Diego
0900024;090586;02;4;San Diego
3400002;340003;02;4;Huntington Beach
0100007;010011;05;4;Long Beach
1000004;100658;02;4;Oxnard
0200021;021223;01;4;Los Angeles
0300017;030098;02;2;San Jose
0700004;070335;02;3;Bakersfield
1700003;171212;02;2;San Bernardino
0400008;040003;04;3;San Francisco
0400009;040778;02;4;San Francisco
0200023;020049;02;4;Los Angeles
0300019;030097;04;1;San Jose
1500001;150620;02;4;Modesto
0900030;090550;01;4;San Diego
2600002;260003;01;5;Santa Clarita
0400010;040832;02;3;San Francisco
1300013;131065;01;2;Fresno
0400011;040784;01;5;San Francisco
0300020;030150;01;1;San Jose
1300015;131060;02;4;Fresno
1300016;131069;02;5;Fresno
0600009;060101;02;4;Oakland
0900031;090577;02;4;San Diego
3500016;350592;02;2;Sacramento
1900003;190044;02;5;Moreno Valley
1000006;100692;03;4;Oxnard
2100004;210003;02;5;Anaheim
1300017;130003;04;1;Fresno
0300026;030148;02;4;San Jose
3300004;331455;02;4;Riverside
3500017;351039;01;4;Sacramento
0900035;090560;02;4;San Diego
1300018;131396;02;4;Fresno
1600005;160724;03;5;Stockton
0200032;020049;02;2;Los Angeles
3500019;351502;01;5;Sacramento
0200033;021224;02;2;Los Angeles
1100002;110003;01;4;Glendale
0900038;090577;02;4;San Diego
0100010;010017;02;4;Long Beach
0600012;061123;01;5;Oakland
0900039;090578;02;4;San Diego
1600007;160730;01;4;Stockton
0400015;040797;02;4;San Francisco
3500023;350997;02;5;Sacramento
2200001;220286;02;3;Oceanside
0200036;021219;02;5;Los Angeles
1600009;160213;04;5;Stockton
0300034;030139;02;5;San Jose
2100005;211422;03;4;Anaheim
3500025;351045;02;4;Sacramento
3500026;350997;02;5;Sacramento
0900044;090563;04;5;San Diego
3400004;340980;02;4;Huntington Beach
3500027;350044;02;2;Sacramento
0900045;090570;01;4;San Diego
0200041;020086;03;1;Los Angeles
2100006;210003;02;4;Anaheim
1200003;120003;04;4;Santa Ana
0400017;040136;04;4;San Francisco
0900047;090590;01;5;San Diego
0300037;030151;01;5;San Jose
0700005;070318;02;4;Bakersfield
1300021;131088;02;4;Fresno
0100014;010017;01;1;Long Beach
0900049;090551;02;4;San Diego
1200005;120455;04;4;Santa Ana
0600014;060085;02;5;Oakland
0300040;030174;02;3;San Jose
0400021;040359;01;4;San Francisco
0300041;030131;03;4;San Jose
1300022;130783;01;5;Fresno
2400003;240531;02;5;Irvine
0300042;030141;04;2;San Jose
0600015;060991;02;3;Oakland
0400022;040785;01;5;San Francisco
1700005;170003;02;4;San Bernardino
0100015;010019;02;3;Long Beach
0200048;021227;02;3;Los Angeles
0200050;021276;02;4;Los Angeles
1000008;100003;02;5;Oxnard
1300023;130003;02;5;Fresno
0900052;090567;02;2;San Diego
0100016;010035;02;4;Long Beach
0200052;021250;02;1;Los Angeles
1300026;130003;02;3;Fresno
0300044;030003;02;5;San Jose
2300008;231431;02;5;Fremont
0900055;090106;02;1;San Diego
0700007;070318;02;4;Bakersfield
1200008;120463;02;4;Santa Ana
1000009;100651;02;5;Oxnard
0200056;020819;02;4;Los Angeles
0700008;070318;02;3;Bakersfield
0200057;021256;02;2;Los Angeles
0900056;090570;02;4;San Diego
0900057;090584;02;4;San Diego
0600018;061095;04;4;Oakland
0400028;040360;02;4;San Francisco
0400029;040797;01;4;San Francisco
3400005;340973;02;5;Huntington Beach
2100009;210498;02;3;Anaheim
0900060;091349;02;3;San Diego
2000002;200966;02;5;Garden Grove
3500034;351482;04;5;Sacramento
0900065;090578;02;5;San Diego
0900066;090566;04;5;San Diego
0700009;070335;02;4;Bakersfield
1200010;120455;04;4;Santa Ana
3500037;350998;02;5;Sacramento
0200063;021219;01;5;Los Angeles
2600004;260018;01;5;Santa Clarita
0300052;030267;01;4;San Jose
0900067;090567;02;5;San Diego
0100024;010043;03;4;Long Beach
0900068;090106;02;1;San Diego
2400005;240533;01;4;Irvine
3500038;350599;02;5;Sacramento
3500039;350044;02;2;Sacramento
1200012;120459;04;4;Santa Ana
1000012;100553;02;4;Oxnard
0900069;091354;02;5;San Diego
0200067;020364;02;1;Los Angeles
0400033;040782;02;3;San Francisco
0400034;040848;03;4;San Francisco
1200013;120359;02;4;Santa Ana
0400036;040829;02;4;San Francisco
0300059;030157;02;4;San Jose
1500006;150011;02;4;Modesto
0100026;010015;03;2;Long Beach
0200073;020221;02;5;Los Angeles
0300060;030130;03;4;San Jose
0400038;040775;03;4;San Francisco
0600020;060003;02;4;Oakland
0200074;020089;04;5;Los Angeles
0200075;021277;02;5;Los Angeles
3500042;350599;01;2;Sacramento
0900074;090550;02;5;San Diego
0900075;090576;02;5;San Diego
0400039;040806;02;5;San Francisco
0300062;030063;02;4;San Jose
1900006;190390;02;5;Moreno Valley
2200004;220291;02;1;Oceanside
3500043;351005;02;3;Sacramento
0400042;040136;01;5;San Francisco
1900008;190420;02;4;Moreno Valley
2600005;261453;02;5;Santa Clarita
3500045;351009;01;3;Sacramento
2600006;260018;02;4;Santa Clarita
1100009;110925;02;4;Glendale
3500046;351002;01;5;Sacramento
0100030;010003;02;4;Long Beach
0600021;061164;04;4;Oakland
1300032;130783;06;4;Fresno
0700014;070323;02;4;Bakersfield
1300035;130783;03;4;Fresno
0900079;090570;02;5;San Diego
0200081;021236;02;4;Los Angeles
1300036;131088;01;5;Fresno
0900080;090537;02;4;San Diego
0200084;020156;02;5;Los Angeles
0900082;090003;02;4;San Diego
3500049;350731;01;4;Sacramento
0200086;020156;04;5;Los Angeles
1100011;110465;02;4;Glendale
0200087;021233;04;4;Los Angeles
1600014;160213;02;4;Stockton
3300008;330984;01;2;Riverside
2300013;230146;03;4;Fremont
3500050;350997;02;4;Sacramento
3500051;350599;03;4;Sacramento
0200088;021236;01;4;Los Angeles
2300014;230447;02;4;Fremont
0300076;030130;03;4;San Jose
0700016;070368;02;5;Bakersfield
0900087;090567;02;1;San Diego
1700009;170087;02;4;San Bernardino
1200016;120469;02;4;Santa Ana
0900089;090572;02;5;San Diego
3500057;351006;02;4;Sacramento
0200094;020263;01;4;Los Angeles
2400006;240537;01;4;Irvine
0100036;010021;01;4;Long Beach
0900093;090003;02;1;San Diego
3500059;350599;03;5;Sacramento
0600027;060958;03;2;Oakland
0900096;090579;01;4;San Diego
1300043;131060;02;4;Fresno
0300082;030003;02;4;San Jose
3500062;350563;02;5;Sacramento
0600028;061124;03;4;Oakland
2400008;240945;02;3;Irvine
0900101;090393;02;2;San Diego
