product_description;segmentation;packaging;category;brand;subcategory;MARCA*;ID_PRODUCT
AMSTEL 01 01;MAINSTREAM;01;01;AMSTEL;01;XENORA;010101001
AMSTEL 02 01;MAINSTREAM;01;01;AMSTEL;02;XENORA;010102002
AMSTEL 02 02;MAINSTREAM;01;02;AMSTEL;02;XENORA;010202003
HEINEKEN 03 01;PREMIUM;01;01;HEINEKEN;03;BRAVIX;020103004
AMSTEL 02 03;MAINSTREAM;02;03;AMSTEL;02;XENORA;010302005
BLUEMOON 04 02;PREMIUM;01;02;BLUEMOON;04;VELTRO;030204006
HEINEKEN 05 02;PREMIUM;01;02;HEINEKEN;05;BRAVIX;020205007
LAGUNITAS 06 02;PREMIUM;01;02;LAGUNITAS;06;NEXIUM;040206008
AMSTEL 01 04;MAINSTREAM;02;04;AMSTEL;01;XENORA;010401009
AMSTEL 02 03;MAINSTREAM;03;03;AMSTEL;02;XENORA;010302010
AMSTEL 02 05;MAINSTREAM;02;05;AMSTEL;02;XENORA;010502011
DEVASSA 02 01;MAINSTREAM;01;01;DEVASSA;02;SOLANA;050102012
EISEN 03 03;PREMIUM;02;03;EISEN;03;ARDENTIS;060303013
EISEN 03 03;PREMIUM;02;03;EISEN;03;ARDENTIS;060303014
GLACIAL 07 03;ECONOMY;02;03;GLACIAL;07;VORYX;070307015
HEINEKEN 05 03;PREMIUM;02;03;HEINEKEN;05;BRAVIX;020305016
NOGRAU 03 03;ECONOMY;02;03;NOGRAU;03;MERIDION;080303017
SCHIN 03 03;ECONOMY;02;03;SCHIN;03;TREVORA;090303018
BONAFONT 08 06;ECONOMY;03;06;BONAFONT;08;ZYPHOS;100608019
MITTO 09 07;PREMIUM;03;07;MITTO;09;ALTRIX;110709020
MITTO 10 07;PREMIUM;03;07;MITTO;10;ALTRIX;110710021
MITTO 11 08;PREMIUM;03;08;MITTO;11;ALTRIX;110811022
MITTO 12 08;PREMIUM;03;08;MITTO;12;ALTRIX;110812023
MITTO 13 08;PREMIUM;03;08;MITTO;13;ALTRIX;110813024
MITTO 14 08;PREMIUM;03;08;MITTO;14;ALTRIX;110814025
MITTO 15 08;PREMIUM;03;08;MITTO;15;ALTRIX;110815026
MITTO 16 08;PREMIUM;03;08;MITTO;16;ALTRIX;110816027
MITTO 17 08;PREMIUM;03;08;MITTO;17;ALTRIX;110817028
MITTO 18 08;PREMIUM;03;08;MITTO;18;ALTRIX;110818029
MITTO 19 08;PREMIUM;03;08;MITTO;19;ALTRIX;110819030
MITTO 20 08;PREMIUM;03;08;MITTO;20;ALTRIX;110820031
MITTO 21 08;PREMIUM;03;08;MITTO;21;ALTRIX;110821032
MITTO 13 08;PREMIUM;03;08;MITTO;13;ALTRIX;110813033
MITTO 22 08;PREMIUM;03;08;MITTO;22;ALTRIX;110822034
SCHIN 03 08;ECONOMY;03;08;SCHIN;03;TREVORA;090803035
DEVASSA 03 03;MAINSTREAM;02;03;DEVASSA;03;SOLANA;050303036
DEVASSA 02 03;MAINSTREAM;02;03;DEVASSA;02;SOLANA;050302037
DEVASSA 02 04;MAINSTREAM;02;04;DEVASSA;02;SOLANA;050402038
GLACIAL 07 04;ECONOMY;02;04;GLACIAL;07;VORYX;070407039
NOGRAU 03 04;ECONOMY;02;04;NOGRAU;03;MERIDION;080403040
SCHIN 03 04;ECONOMY;02;04;SCHIN;03;TREVORA;090403041
SCHIN 23 09;ECONOMY;03;09;SCHIN;23;TREVORA;090923042
SCHIN 24 09;ECONOMY;03;09;SCHIN;24;TREVORA;090924043
SCHIN 25 09;ECONOMY;03;09;SCHIN;25;TREVORA;090925044
SCHIN 20 09;ECONOMY;03;09;SCHIN;20;TREVORA;090920045
SCHIN 26 09;ECONOMY;03;09;SCHIN;26;TREVORA;090926046
SCHIN 27 09;ECONOMY;03;09;SCHIN;27;TREVORA;090927047
FY'S 23 09;MAINSTREAM;03;09;FY'S;23;FYRONIX;120923048
FY'S 24 09;MAINSTREAM;03;09;FY'S;24;FYRONIX;120924049
FY'S 28 09;MAINSTREAM;03;09;FY'S;28;FYRONIX;120928050
FY'S 20 09;MAINSTREAM;03;09;FY'S;20;FYRONIX;120920051
FY'S 26 09;MAINSTREAM;03;09;FY'S;26;FYRONIX;120926052
SKINKA 29 09;ECONOMY;03;09;SKINKA;29;VALERON;130929053
HEINEKEN 05 10;PREMIUM;03;10;HEINEKEN;05;BRAVIX;021005054
SCHIN 08 11;ECONOMY;03;11;SCHIN;08;TREVORA;091108055
BLUEMOON 04 12;PREMIUM;03;12;BLUEMOON;04;VELTRO;031204056
MAMBA 30 13;PREMIUM;03;13;MAMBA;30;ZELTRA;141330057
MAMBA 08 13;PREMIUM;03;13;MAMBA;08;ZELTRA;141308058
BONAFONT 30 14;ECONOMY;03;14;BONAFONT;30;ZYPHOS;101430059
HEINEKEN 05 15;PREMIUM;03;15;HEINEKEN;05;BRAVIX;021505060
HEINEKEN 05 15;PREMIUM;03;15;HEINEKEN;05;BRAVIX;021505061
HEINEKEN 05 15;PREMIUM;03;15;HEINEKEN;05;BRAVIX;021505062
HEINEKEN 05 16;PREMIUM;02;16;HEINEKEN;05;BRAVIX;021605063
DEVASSA 02 04;MAINSTREAM;02;04;DEVASSA;02;SOLANA;050402064
DEVASSA 03 05;MAINSTREAM;02;05;DEVASSA;03;SOLANA;050503065
DEVASSA 02 05;MAINSTREAM;02;05;DEVASSA;02;SOLANA;050502066
GLACIAL 03 05;ECONOMY;02;05;GLACIAL;03;VORYX;070503067
SCHIN 03 05;ECONOMY;02;05;SCHIN;03;TREVORA;090503068
AMSTEL 02 17;MAINSTREAM;03;17;AMSTEL;02;XENORA;011702069
BADEN 31 17;PREMIUM;03;17;BADEN;31;OMNIXIA;151731070
BADEN 06 17;PREMIUM;03;17;BADEN;06;OMNIXIA;151706071
BADEN 32 17;PREMIUM;03;17;BADEN;32;OMNIXIA;151732072
BADEN 33 17;PREMIUM;03;17;BADEN;33;OMNIXIA;151733073
BADEN 04 17;PREMIUM;03;17;BADEN;04;OMNIXIA;151704074
BADEN 34 17;PREMIUM;03;17;BADEN;34;OMNIXIA;151734075
BADEN 35 17;PREMIUM;03;17;BADEN;35;OMNIXIA;151735076
BADEN 36 17;PREMIUM;03;17;BADEN;36;OMNIXIA;151736077
BADEN 37 17;PREMIUM;03;17;BADEN;37;OMNIXIA;151737078
BADEN 38 17;PREMIUM;03;17;BADEN;38;OMNIXIA;151738079
BADEN 39 17;PREMIUM;03;17;BADEN;39;OMNIXIA;151739080
HEINEKEN 05 17;PREMIUM;03;17;HEINEKEN;05;BRAVIX;021705081
HEINEKEN 05 17;PREMIUM;03;17;HEINEKEN;05;BRAVIX;021705082
PRAYA 04 17;PREMIUM;03;17;PRAYA;04;CORVEX;161704083
BONAFONT 08 18;ECONOMY;03;18;BONAFONT;08;ZYPHOS;101808084
BONAFONT 08 18;ECONOMY;03;18;BONAFONT;08;ZYPHOS;101808085
BONAFONT 08 19;ECONOMY;03;19;BONAFONT;08;ZYPHOS;101908086
BONAFONT 12 19;ECONOMY;03;19;BONAFONT;12;ZYPHOS;101912087
BONAFONT 30 19;ECONOMY;03;19;BONAFONT;30;ZYPHOS;101930088
SCHIN 23 20;ECONOMY;03;20;SCHIN;23;TREVORA;092023089
SCHIN 24 20;ECONOMY;03;20;SCHIN;24;TREVORA;092024090
SCHIN 20 20;ECONOMY;03;20;SCHIN;20;TREVORA;092020091
HEINEKEN 03 21;PREMIUM;03;21;HEINEKEN;03;BRAVIX;022103092
BONAFONT 40 22;ECONOMY;03;22;BONAFONT;40;ZYPHOS;102240093
BONAFONT 41 22;ECONOMY;03;22;BONAFONT;41;ZYPHOS;102241094
BONAFONT 08 22;ECONOMY;03;22;BONAFONT;08;ZYPHOS;102208095
BONAFONT 12 22;ECONOMY;03;22;BONAFONT;12;ZYPHOS;102212096
BONAFONT 30 22;ECONOMY;03;22;BONAFONT;30;ZYPHOS;102230097
SCHIN 30 22;ECONOMY;03;22;SCHIN;30;TREVORA;092230098
SCHIN 08 22;ECONOMY;03;22;SCHIN;08;TREVORA;092208099
AMSTEL 02 23;MAINSTREAM;03;23;AMSTEL;02;XENORA;012302100
DEVASSA 02 23;MAINSTREAM;03;23;DEVASSA;02;SOLANA;052302101
EISEN 42 23;PREMIUM;03;23;EISEN;42;ARDENTIS;062342102
GLACIAL 07 23;ECONOMY;03;23;GLACIAL;07;VORYX;072307103
HEINEKEN 05 23;PREMIUM;03;23;HEINEKEN;05;BRAVIX;022305104
NOGRAU 03 23;ECONOMY;03;23;NOGRAU;03;MERIDION;082303105
SCHIN 03 23;ECONOMY;03;23;SCHIN;03;TREVORA;092303106
SKINKA 29 24;ECONOMY;03;24;SKINKA;29;VALERON;132429107
SKINKA 43 24;ECONOMY;03;24;SKINKA;43;VALERON;132443108
SKINKA 27 24;ECONOMY;03;24;SKINKA;27;VALERON;132427109
SKINKA 20 24;ECONOMY;03;24;SKINKA;20;VALERON;132420110
PRAYA 04 12;PREMIUM;03;12;PRAYA;04;CORVEX;161204111
AMSTEL 02 25;MAINSTREAM;03;25;AMSTEL;02;XENORA;012502112
DEVASSA 44 25;MAINSTREAM;03;25;DEVASSA;44;SOLANA;052544113
DEVASSA 45 25;MAINSTREAM;03;25;DEVASSA;45;SOLANA;052545114
DEVASSA 46 25;MAINSTREAM;03;25;DEVASSA;46;SOLANA;052546115
EISEN 06 25;PREMIUM;03;25;EISEN;06;ARDENTIS;062506116
EISEN 06 25;PREMIUM;03;25;EISEN;06;ARDENTIS;062506117
EISEN 47 25;PREMIUM;03;25;EISEN;47;ARDENTIS;062547118
EISEN 48 25;PREMIUM;03;25;EISEN;48;ARDENTIS;062548119
EISEN 03 25;PREMIUM;03;25;EISEN;03;ARDENTIS;062503120
EISEN 42 25;PREMIUM;03;25;EISEN;42;ARDENTIS;062542121
LAGUNITAS 49 25;PREMIUM;03;25;LAGUNITAS;49;NEXIUM;042549122
ITUBAINA 25 13;MAINSTREAM;03;13;ITUBAINA;25;ENOVARA;171325123
ITUBAINA 25 13;MAINSTREAM;03;13;ITUBAINA;25;ENOVARA;171325124
SCHIN 50 13;ECONOMY;03;13;SCHIN;50;TREVORA;091350125
SCHIN 23 13;ECONOMY;03;13;SCHIN;23;TREVORA;091323126
SCHIN 24 13;ECONOMY;03;13;SCHIN;24;TREVORA;091324127
SCHIN 24 13;ECONOMY;03;13;SCHIN;24;TREVORA;091324128
SCHIN 20 13;ECONOMY;03;13;SCHIN;20;TREVORA;091320129
AMSTEL 02 13;MAINSTREAM;03;13;AMSTEL;02;XENORA;011302130
AMSTEL 02 13;MAINSTREAM;03;13;AMSTEL;02;XENORA;011302131
BADEN 31 13;PREMIUM;03;13;BADEN;31;OMNIXIA;151331132
BADEN 06 13;PREMIUM;03;13;BADEN;06;OMNIXIA;151306133
BADEN 32 13;PREMIUM;03;13;BADEN;32;OMNIXIA;151332134
BADEN 33 13;PREMIUM;03;13;BADEN;33;OMNIXIA;151333135
BADEN 04 13;PREMIUM;03;13;BADEN;04;OMNIXIA;151304136
BLUEMOON 04 13;PREMIUM;03;13;BLUEMOON;04;VELTRO;031304137
DEVASSA 03 13;MAINSTREAM;03;13;DEVASSA;03;SOLANA;051303138
DEVASSA 02 13;MAINSTREAM;03;13;DEVASSA;02;SOLANA;051302139
DEVASSA 26 13;MAINSTREAM;03;13;DEVASSA;26;SOLANA;051326140
DEVASSA 21 13;MAINSTREAM;03;13;DEVASSA;21;SOLANA;051321141
EISEN 03 13;PREMIUM;03;13;EISEN;03;ARDENTIS;061303142
EISEN 03 13;PREMIUM;03;13;EISEN;03;ARDENTIS;061303143
EISEN 03 13;PREMIUM;03;13;EISEN;03;ARDENTIS;061303144
FY'S 24 13;MAINSTREAM;03;13;FY'S;24;FYRONIX;121324145
